"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","565","Validates status code when trying to create user with blank credentials","Creates a User","Sat Mar 01 14:30:54 BRT 2025","failed","Sat Mar 01 14:30:54 BRT 2025","","","",""
"","539","Validates message when trying to register with invalid password","Registers a User","Sat Mar 01 14:31:02 BRT 2025","failed","Sat Mar 01 14:31:03 BRT 2025","","","",""
"","463","Validates response structure on request success","Creates a User","Sat Mar 01 14:30:53 BRT 2025","passed","Sat Mar 01 14:30:54 BRT 2025","","","",""
"","510","Validates status code when trying to create user with no job","Creates a User","Sat Mar 01 14:30:55 BRT 2025","failed","Sat Mar 01 14:30:55 BRT 2025","","","",""
"","540","Validates status code when trying to create user with no body","Updates a User","Sat Mar 01 14:31:13 BRT 2025","failed","Sat Mar 01 14:31:14 BRT 2025","","","",""
"","415","Validates message when trying to register with no password","Registers a User","Sat Mar 01 14:31:08 BRT 2025","passed","Sat Mar 01 14:31:08 BRT 2025","","","",""
"","530","Validates status code when trying to create user with no body","Creates a User","Sat Mar 01 14:30:54 BRT 2025","failed","Sat Mar 01 14:30:55 BRT 2025","","","",""
"","74","Validates response structure on request success","List Users","Sat Mar 01 14:30:49 BRT 2025","passed","Sat Mar 01 14:30:49 BRT 2025","","","",""
"","36","Validates page number on request success","List Users","Sat Mar 01 14:30:49 BRT 2025","passed","Sat Mar 01 14:30:49 BRT 2025","","","",""
"","405","Validates message when trying to login with no email field","Registers a User","Sat Mar 01 14:31:01 BRT 2025","passed","Sat Mar 01 14:31:01 BRT 2025","","","",""
"","398","Validates message when trying to register non existent user","Registers a User","Sat Mar 01 14:31:07 BRT 2025","passed","Sat Mar 01 14:31:08 BRT 2025","","","",""
"","404","Validates message when trying to register with invalid email","Registers a User","Sat Mar 01 14:31:02 BRT 2025","passed","Sat Mar 01 14:31:02 BRT 2025","","","",""
"","54","Validates status code on request success","List Users","Sat Mar 01 14:30:49 BRT 2025","passed","Sat Mar 01 14:30:49 BRT 2025","","","",""
"","527","Validates status code when trying to create user with no job","Updates a User","Sat Mar 01 14:31:13 BRT 2025","failed","Sat Mar 01 14:31:13 BRT 2025","","","",""
"","407","Validates message when trying to login with blank password","Registers a User","Sat Mar 01 14:31:01 BRT 2025","passed","Sat Mar 01 14:31:02 BRT 2025","","","",""
"","449","Validates response structure on request success","Registers a User","Sat Mar 01 14:31:00 BRT 2025","passed","Sat Mar 01 14:31:00 BRT 2025","","","",""
"","263","Validates response status code on trying to delete user without id","Deletes a User","Sat Mar 01 14:30:44 BRT 2025","failed","Sat Mar 01 14:30:44 BRT 2025","","","",""
"","71","Validates status code on request success","List One User","Sat Mar 01 14:30:46 BRT 2025","passed","Sat Mar 01 14:30:46 BRT 2025","","","",""
"","515","Validates status code when trying to create user with no name","Creates a User","Sat Mar 01 14:30:56 BRT 2025","failed","Sat Mar 01 14:30:56 BRT 2025","","","",""
"","412","Validates status code when trying to find user -1","List One User","Sat Mar 01 14:30:47 BRT 2025","passed","Sat Mar 01 14:30:47 BRT 2025","","","",""
"","668","Validates response status code on request success","Deletes a User","Sat Mar 01 14:30:43 BRT 2025","passed","Sat Mar 01 14:30:44 BRT 2025","","","",""
"","409","Validates message when trying to login with no password field","Registers a User","Sat Mar 01 14:31:00 BRT 2025","passed","Sat Mar 01 14:31:01 BRT 2025","","","",""
"","398","Validates message when trying to login with blank email","Registers a User","Sat Mar 01 14:31:02 BRT 2025","passed","Sat Mar 01 14:31:02 BRT 2025","","","",""
"","210","Validates status code on request failure","List One User","Sat Mar 01 14:30:46 BRT 2025","failed","Sat Mar 01 14:30:46 BRT 2025","","","",""
"","479","Validates response structure on request success","Updates a User","Sat Mar 01 14:31:12 BRT 2025","passed","Sat Mar 01 14:31:13 BRT 2025","","","",""
"","446","Validates response structure on request success","Registers a User","Sat Mar 01 14:31:07 BRT 2025","passed","Sat Mar 01 14:31:07 BRT 2025","","","",""
"","398","Validates message when trying to register with no email","Registers a User","Sat Mar 01 14:31:08 BRT 2025","passed","Sat Mar 01 14:31:08 BRT 2025","","","",""
"","442","Validates status code when user is not found","List One User","Sat Mar 01 14:30:46 BRT 2025","passed","Sat Mar 01 14:30:46 BRT 2025","","","",""
